age,income,family_members,purchase
37,43620.800179232334,2,0
56,60865.62020043044,3,1
21,39500.93922412588,2,0
19,48343.51311559582,2,0
57,36974.71140754573,1,0
27,51300.947434015936,1,0
27,50403.03872584777,3,1
41,58652.71550941595,4,1
53,38303.04533962544,3,0
29,34070.31018895922,4,0
54,57862.63918888389,2,1
18,47827.75620309439,1,1
65,52127.25243014932,3,1
60,45869.708866675566,4,0
28,81088.60301978898,3,0
27,52910.107871659675,4,0
57,50412.9247568517,4,0
46,77066.05949246358,4,0
58,19394.28736636659,4,0
53,56935.37501473427,4,1
65,32442.26826105267,3,1
23,55176.69755023969,4,0
37,54438.26481825965,2,1
47,49381.04208983965,4,0
21,52161.18671914643,1,1
30,47023.614558924055,4,1
56,28462.573909301118,4,1
69,55830.749484974884,1,1
42,54831.111703755865,4,0
57,55978.13154380842,2,0
21,58727.296150207876,4,1
18,27599.900626744,4,1
62,68940.73225683079,2,1
65,41316.36820640587,2,0
38,35024.26468984327,4,1
49,56465.499546273444,1,1
41,44550.99470722475,2,1
18,71404.22825954518,2,0
55,56465.51223805107,3,1
41,41933.2232215516,1,1
54,49338.313881253685,1,0
69,58904.19129055954,2,0
22,14929.307735641281,1,0
52,46258.68010488624,1,0
45,22143.688428831487,2,1
38,47933.49783589415,1,1
23,41864.546280300696,3,0
60,18162.319836698447,1,0
42,79389.43836164492,4,1
22,48447.16255722951,4,1
41,66809.069852142,4,1
69,44485.43595653379,2,1
50,56844.30515569225,3,0
38,32655.777976158643,1,0
53,55958.26094953267,1,1
49,38801.44326763452,2,0
64,46639.41830600534,3,0
58,40224.27085975821,2,1
57,30897.65922043434,1,0
64,46079.679907845144,1,0
31,27518.894203898693,3,0
53,61845.00695817102,1,0
32,42741.97830108228,3,0
50,37685.33633421557,3,1
67,60505.885655055485,2,0
33,39598.63383257372,4,1
18,37687.04256102241,1,0
24,49814.82779970711,2,1
24,65914.26725139005,3,1
19,68376.55191943356,3,0
22,43901.95209466461,1,1
36,54154.953576460546,3,1
42,43697.24915496908,3,1
30,68208.58919538482,3,1
68,40014.19006724801,1,0
33,63346.314648075306,2,0
59,74933.9351583179,4,1
35,33803.32851753383,1,1
19,33503.869810478485,4,1
32,75914.58680250196,3,1
