도시명,ProductA가격,ProductB가격
울산,25000,10000
인천,30000,0
광주,15000,8000
울산,0,10000
대구,25000,6000
광주,20000,6000
광주,20000,6000
울산,5000,6000
부산,30000,6000
대구,20000,10000
울산,5000,10000
대구,0,4000
대구,15000,2000
광주,15000,12000
인천,15000,6000
대구,20000,0
대전,0,12000
광주,20000,10000
부산,30000,0
인천,20000,0
대전,0,0
대전,0,4000
부산,30000,10000
인천,0,0
광주,0,6000
서울,15000,8000
인천,30000,0
부산,10000,4000
대전,10000,12000
광주,0,10000
인천,10000,4000
서울,10000,0
서울,0,10000
대구,10000,8000
대구,20000,0
울산,5000,4000
부산,30000,2000
인천,5000,6000
인천,0,12000
울산,15000,4000
대전,30000,10000
대전,0,0
울산,15000,6000
대전,5000,0
대구,0,10000
인천,30000,0
울산,30000,2000
인천,25000,6000
서울,20000,6000
대구,10000,10000
광주,15000,12000
대구,25000,2000
울산,10000,4000
광주,10000,0
서울,0,8000
울산,10000,0
부산,20000,0
인천,30000,4000
서울,25000,0
인천,10000,2000
대전,0,2000
부산,20000,6000
부산,5000,10000
서울,30000,12000
부산,30000,8000
광주,25000,0
부산,30000,0
인천,10000,4000
인천,0,10000
울산,30000,2000
인천,30000,8000
울산,5000,6000
인천,5000,2000
광주,15000,10000
울산,20000,12000
대구,10000,6000
대전,30000,12000
서울,30000,4000
인천,0,4000
부산,15000,0
인천,20000,12000
부산,15000,10000
대전,25000,8000
대전,20000,6000
대전,30000,2000
부산,30000,10000
인천,20000,10000
대전,30000,4000
광주,10000,12000
울산,20000,0
부산,15000,0
부산,20000,6000
인천,30000,4000
부산,10000,10000
부산,10000,8000
대전,25000,4000
인천,15000,6000
대전,5000,6000
울산,5000,4000
울산,20000,6000
