factory,products_made_domestic,products_made_international,products_sold_domestic,products_sold_international,materials_received_domestic,materials_received_international,materials_used_domestic,materials_used_international,year
Factory B,1428,814,1633,274,550,362,1048,580,2020
Factory C,1752,369,868,699,692,250,340,563,2023
Factory E,1263,657,800,835,1066,442,540,527,2021
Factory D,621,856,1480,543,321,220,816,569,2020
Factory E,1850,622,1282,296,729,328,925,330,2023
Factory E,969,923,1063,482,700,684,1345,509,2023
Factory E,787,391,680,232,1477,565,1127,413,2023
Factory D,1025,641,1428,315,1306,305,874,508,2023
Factory E,1676,723,1012,654,1443,425,671,545,2021
Factory E,1091,851,1404,628,696,318,1342,601,2023
Factory E,541,962,705,890,886,745,687,461,2021
Factory A,774,714,743,373,1319,351,1287,657,2022
Factory E,1962,957,553,332,1250,238,351,402,2020
Factory D,707,574,1777,641,1402,466,1037,654,2023
Factory C,1279,343,757,293,1130,206,1114,267,2022
Factory A,666,383,1097,547,499,462,630,521,2020
Factory B,611,733,807,601,1457,531,350,620,2020
Factory B,1873,393,1453,619,999,570,1015,335,2020
Factory D,1653,474,1329,604,1494,541,1151,499,2022
Factory A,1235,705,1795,385,751,582,480,386,2021
Factory A,1312,501,1031,575,438,570,754,153,2022
Factory B,716,798,1347,876,1054,458,912,315,2023
Factory C,1905,780,1254,716,687,532,1304,541,2023
Factory E,524,629,902,697,1449,721,505,228,2022
Factory C,567,840,407,698,1018,589,781,673,2020
Factory A,1478,509,1017,405,1341,381,910,210,2021
Factory D,1507,917,1409,614,1009,435,1124,253,2021
Factory C,734,875,537,565,747,393,836,279,2021
Factory C,791,316,1094,619,650,791,373,434,2021
Factory A,1522,406,1251,785,964,262,566,598,2020
Factory B,1201,464,1332,418,625,532,991,545,2021
Factory A,1227,906,1572,738,724,759,931,626,2020
Factory C,1055,836,1408,574,464,788,438,523,2023
Factory C,532,928,1683,222,964,320,941,589,2020
Factory D,1535,491,526,660,973,545,309,165,2023
Factory C,712,495,977,554,762,725,740,281,2021
Factory D,1662,607,1204,802,1053,422,791,256,2022
Factory C,1945,436,1748,251,1459,436,475,622,2023
Factory B,1123,393,1376,773,1047,305,632,363,2023
Factory C,1270,387,512,644,346,413,466,434,2020
Factory D,1741,460,1050,304,1312,718,1117,417,2022
Factory D,1163,447,637,840,939,760,758,431,2023
Factory D,1321,884,1784,594,1229,752,1339,509,2020
Factory C,807,755,1390,527,637,358,1361,568,2021
Factory D,1698,387,463,806,1481,589,697,407,2023
Factory E,1672,313,854,718,1186,343,660,678,2021
Factory B,1449,614,1689,885,588,685,979,695,2023
Factory C,1047,893,1003,445,415,237,466,183,2023
Factory D,1307,420,1023,614,936,771,713,322,2022
Factory B,1917,581,739,727,709,295,1375,636,2023
Factory C,573,726,1698,369,1498,552,1317,478,2020
Factory B,797,770,1793,366,798,696,1384,355,2021
Factory E,1419,584,626,509,922,408,624,256,2021
Factory C,1230,576,1649,794,885,488,1165,566,2021
Factory D,1376,624,1308,591,446,262,1001,474,2023
Factory A,1277,834,1652,420,1072,594,773,565,2020
Factory D,1918,527,769,881,943,596,1179,214,2023
Factory C,929,895,1552,314,1372,613,369,437,2022
Factory D,699,947,1207,534,1400,546,532,229,2020
Factory A,1947,873,1448,419,593,350,810,233,2023
Factory A,1585,953,1098,446,416,603,489,655,2023
Factory A,841,817,692,300,409,589,944,546,2022
Factory D,1365,556,755,615,479,795,858,160,2023
Factory C,1568,436,1237,421,861,327,606,650,2022
Factory D,1302,507,534,378,1395,684,849,220,2023
Factory A,1612,763,403,708,815,548,764,171,2020
Factory E,533,439,1650,374,374,660,511,486,2022
Factory A,1145,304,1289,805,790,354,1184,470,2020
Factory A,732,723,1080,826,1366,283,862,279,2020
Factory C,1267,648,844,873,328,335,699,513,2020
Factory D,536,582,1708,266,1155,380,821,616,2021
Factory C,1983,886,1236,656,604,792,1151,488,2021
Factory D,790,733,426,325,1077,613,511,556,2022
Factory A,697,519,1136,338,1176,200,288,690,2020
Factory A,1394,673,648,824,1157,773,338,477,2020
Factory A,1778,590,765,355,1185,523,620,433,2021
Factory D,1604,863,1625,896,912,344,1195,366,2023
Factory A,1970,970,597,320,390,657,1298,463,2020
Factory C,636,737,1329,521,1392,796,647,366,2021
Factory C,689,808,1037,648,917,316,734,419,2022
Factory A,629,749,1006,490,312,518,331,228,2022
Factory E,709,626,472,203,525,760,691,450,2023
Factory D,1892,790,646,438,721,345,863,385,2020
Factory E,791,353,1252,877,467,721,719,395,2021
Factory A,1900,394,1559,371,1228,692,433,241,2021
Factory E,1871,359,613,782,1222,390,361,194,2023
Factory D,668,636,1747,860,399,279,1029,660,2021
Factory D,1304,966,502,827,606,406,347,563,2021
Factory E,676,936,727,804,644,617,488,260,2023
Factory B,823,463,995,814,1034,428,653,690,2022
Factory D,1008,870,1647,579,1220,518,1285,199,2023
Factory A,1303,406,656,309,584,566,1243,493,2023
Factory A,1638,501,1771,529,472,207,1371,191,2022
Factory A,1553,600,1531,300,601,709,551,624,2022
Factory B,1813,850,1326,894,1122,358,1024,344,2023
Factory A,646,979,1573,707,300,792,851,423,2020
Factory E,1797,948,400,871,438,355,743,170,2022
Factory B,721,313,1784,793,1007,759,800,470,2023
Factory D,840,834,1091,235,741,695,301,386,2021
Factory B,1009,804,1513,437,1215,723,1290,229,2020
