제품보고서번호,공장명,결함유형,신고일자,신고시각,처리일자,처리시각,작업자직업명,사고발생장소,신고일시,처리일시
202200000001M25795,공장B,기계 결함,20220722,205914,20221027,184738,기술자,라인5,2022-07-22 20:59:14,2022-10-27 18:47:38
202200000002M10860,공장B,품질 문제,20220622,31050,20221109,132745,검사원,라인3,2022-06-22 03:10:50,2022-11-09 13:27:45
202200000007M47194,공장D,기계 결함,20220211,132628,20220516,232341,기술자,라인4,2022-02-11 13:26:28,2022-05-16 23:23:41
202200000011M26023,공장E,기계 결함,20220120,14812,20220517,120430,검사원,라인1,2022-01-20 14:08:12,2022-05-17 12:04:30
202200000031M75725,공장A,전기 결함,20220601,171835,20220908,103109,기술자,라인2,2022-06-01 17:18:35,2022-09-08 10:31:09
202200000034M77435,공장C,기계 결함,20220101,163443,20220111,142458,검사원,라인4,2022-01-01 16:34:43,2022-01-11 14:24:58
202200000035M66886,공장A,안전 문제,20220309,13254,20220703,203637,기타,라인3,2022-03-09 13:25:04,2022-07-03 20:36:37
202200000036M76803,공장A,품질 문제,20220520,201621,20221217,160024,관리자,라인2,2022-05-20 20:16:21,2022-12-17 16:00:24
202200000046M83969,공장E,전기 결함,20220525,131803,20221124,200216,관리자,라인2,2022-05-25 13:18:03,2022-11-24 20:02:16
202200000047M53001,공장A,품질 문제,20220203,54131,20220212,161147,관리자,라인2,2022-02-03 05:41:31,2022-02-12 16:11:47
202200000048M86552,공장C,안전 문제,20220503,64445,20221214,144454,기술자,라인2,2022-05-03 06:44:45,2022-12-14 14:44:54
202200000050M78148,공장A,기계 결함,20220924,3502,20221120,143531,기술자,라인1,2022-09-24 03:50:02,2022-11-20 14:35:31
202200000052M58555,공장D,전기 결함,20220620,54038,20221028,184251,기술자,라인3,2022-06-20 05:40:38,2022-10-28 18:42:51
202200000055M45920,공장E,기계 결함,20220918,112631,20221216,220323,기술자,라인5,2022-09-18 11:26:31,2022-12-16 22:03:23
202200000061M87189,공장C,안전 문제,20220523,13716,20220721,153418,기술자,라인1,2022-05-23 13:07:16,2022-07-21 15:34:18
202200000062M88953,공장E,안전 문제,20220215,23322,20220717,111558,기술자,라인3,2022-02-15 23:32:02,2022-07-17 11:15:58
202200000064M50757,공장E,안전 문제,20221018,115735,20221031,193003,기타,라인1,2022-10-18 11:57:35,2022-10-31 19:30:03
202200000065M19692,공장A,기계 결함,20220405,41228,20220610,112201,검사원,라인4,2022-04-05 04:12:28,2022-06-10 11:22:01
202200000073M50397,공장E,품질 문제,20220124,75304,20220723,161152,기타,라인2,2022-01-24 07:53:04,2022-07-23 16:11:52
202200000078M33247,공장A,기계 결함,20220213,63132,20220816,235832,관리자,라인5,2022-02-13 06:31:32,2022-08-16 23:58:32
202200000079M34300,공장B,전기 결함,20220118,201511,20220627,174740,기타,라인3,2022-01-18 20:15:11,2022-06-27 17:47:40
202200000080M84065,공장B,안전 문제,20220520,55133,20220527,182104,관리자,라인4,2022-05-20 05:51:33,2022-05-27 18:21:04
202200000098M58190,공장A,품질 문제,20220113,203401,20221015,212542,기타,라인1,2022-01-13 20:34:01,2022-10-15 21:25:42
202200000102M43159,공장D,기계 결함,20220523,213235,20221116,111819,관리자,라인1,2022-05-23 21:32:35,2022-11-16 11:18:19
202200000107M13561,공장C,전기 결함,20220113,125233,20220625,150540,기술자,라인1,2022-01-13 12:52:33,2022-06-25 15:05:40
202200000113M40535,공장E,품질 문제,20220102,191728,20221005,205855,검사원,라인1,2022-01-02 19:17:28,2022-10-05 20:58:55
202200000115M62256,공장D,안전 문제,20220118,100159,20220706,122700,관리자,라인2,2022-01-18 10:01:59,2022-07-06 12:27:00
202200000123M34538,공장E,품질 문제,20220707,135006,20220728,214934,검사원,라인1,2022-07-07 13:50:06,2022-07-28 21:49:34
202200000124M80592,공장D,전기 결함,20221126,151559,20221215,195820,관리자,라인3,2022-11-26 15:15:59,2022-12-15 19:58:20
202200000127M37266,공장A,안전 문제,20220717,43859,20221107,185527,검사원,라인3,2022-07-17 04:38:59,2022-11-07 18:55:27
202200000130M16910,공장E,안전 문제,20220709,64936,20221122,194439,기술자,라인2,2022-07-09 06:49:36,2022-11-22 19:44:39
202200000132M97054,공장D,품질 문제,20220331,211306,20221118,224631,기술자,라인4,2022-03-31 21:13:06,2022-11-18 22:46:31
202200000133M97897,공장E,전기 결함,20220227,42104,20220613,194632,기타,라인5,2022-02-27 04:21:04,2022-06-13 19:46:32
202200000134M33419,공장E,안전 문제,20220228,220126,20220705,130442,검사원,라인4,2022-02-28 22:01:26,2022-07-05 13:04:42
202200000135M60636,공장E,기계 결함,20220502,205337,20220817,153339,기술자,라인4,2022-05-02 20:53:37,2022-08-17 15:33:39
202200000136M60015,공장E,품질 문제,20220328,142009,20221204,104902,검사원,라인5,2022-03-28 14:20:09,2022-12-04 10:49:02
202200000138M97939,공장C,전기 결함,20220208,60400,20220623,172947,검사원,라인2,2022-02-08 06:04:00,2022-06-23 17:29:47
202200000145M65820,공장A,품질 문제,20220102,225225,20221020,134116,기술자,라인5,2022-01-02 22:52:25,2022-10-20 13:41:16
202200000150M53585,공장E,기계 결함,20220722,92041,20221230,200157,기술자,라인1,2022-07-22 09:20:41,2022-12-30 20:01:57
202200000155M79163,공장B,기계 결함,20220429,94957,20220926,173321,기술자,라인3,2022-04-29 09:49:57,2022-09-26 17:33:21
202200000156M35939,공장D,기계 결함,20220723,72027,20221031,105756,검사원,라인5,2022-07-23 07:20:27,2022-10-31 10:57:56
202200000157M58925,공장D,안전 문제,20220212,105433,20220927,120321,검사원,라인3,2022-02-12 10:54:33,2022-09-27 12:03:21
202200000159M31834,공장B,전기 결함,20220104,74814,20221002,230327,관리자,라인5,2022-01-04 07:48:14,2022-10-02 23:03:27
202200000162M85766,공장B,기계 결함,20220414,43143,20221006,175600,검사원,라인3,2022-04-14 04:31:43,2022-10-06 17:56:00
