기간,제품A,제품B,제품C,제품D,제품E
2018년_1월,890,567,274,762,691
2018년_2월,270,831,930,539,393
2018년_3월,233,580,687,601,944
2018년_4월,526,167,594,374,737
2018년_5월,124,913,213,949,442
2018년_6월,629,348,210,175,409
2018년_7월,289,422,860,538,761
2018년_8월,240,617,538,831,627
2018년_9월,654,891,814,959,639
2018년_10월,945,531,246,798,518
2018년_11월,895,586,134,388,543
2018년_12월,757,705,408,639,784
2019년_1월,414,528,637,990,657
2019년_2월,543,368,849,791,939
2019년_3월,418,808,113,352,335
2019년_4월,540,636,473,225,538
2019년_5월,191,247,656,276,313
2019년_6월,278,217,527,136,184
2019년_7월,155,949,827,509,893
2019년_8월,254,466,332,710,843
2019년_9월,771,949,804,709,184
2019년_10월,210,165,662,226,588
2019년_11월,236,912,986,582,164
2019년_12월,331,469,825,267,745
