"국가","관광","사무","공무","유학","기타"
"남아프리카공화국",9198,1415,234,178,340
"스페인",7127,409,422,3489,193
"싱가포르",9640,1751,508,3536,709
"이탈리아",3358,1370,880,4620,459
"일본",3980,160,64,204,303
"칠레",9326,468,80,3247,148
"말레이시아",3230,1533,483,4019,898
"뉴질랜드",5603,920,548,2421,190
"페루",9693,1081,987,2432,624
"탄자니아",4576,457,475,3475,191
"인도네시아",3783,617,291,2363,446
"이탈리아",7831,357,765,259,119
"뉴질랜드",5967,279,343,4590,627
"그리스",9301,270,323,1355,522
"터키",7816,878,479,3064,627
"이스라엘",9267,646,560,1325,59
"독일",1386,347,450,4106,817
"싱가포르",4706,1153,111,4266,903
"이스라엘",2378,218,791,3352,61
"체코",4044,618,963,4071,422
"사우디아라비아",686,1905,905,2450,108
"체코",6078,698,317,1233,292
"호주",5027,337,807,3540,373
"아랍에미리트",6387,797,222,1851,535
"모로코",9039,26,287,1673,115
"캐나다",7281,539,734,3467,930
"터키",9175,981,585,4204,600
"영국",4715,1543,292,4104,644
"칠레",151,956,226,4722,950
"호주",6810,1781,790,4357,413
"스웨덴",9830,1690,890,2589,698
"케냐",8174,1577,684,2330,983
"이탈리아",6911,724,297,1609,763
"스위스",2208,1414,860,3339,203
"페루",1029,1522,605,1760,758
"에티오피아",8518,1246,637,204,993
"필리핀",7448,671,811,3424,246
"러시아",7735,861,39,667,440
"스페인",8011,657,237,4548,947
"나이지리아",1956,960,165,856,690
"칠레",8172,1445,619,1948,251
"베네수엘라",5358,1081,33,2670,560
"영국",5884,660,83,1960,643
"호주",4093,163,396,646,545
"아르헨티나",985,238,866,1060,990
"브라질",6183,1697,277,3127,162
"오스트리아",986,578,209,3562,322
"이스라엘",4233,1540,76,1264,576
"루마니아",9954,330,94,4987,168
"필리핀",1584,1249,803,1656,442
"영국",4685,1413,30,1886,788
"필리핀",7864,117,217,1328,78
"이스라엘",9985,1561,946,4084,665
"나이지리아",4776,648,175,3082,493
"우간다",6644,1079,374,665,199
"그리스",985,1241,323,3494,424
"알제리",10000,597,115,2035,445
"아랍에미리트",8536,557,377,3177,995
"독일",7478,1682,850,4889,95
"캐나다",2507,1706,608,2511,918
"러시아",195,415,465,1204,464
"멕시코",3124,1158,358,4374,379
"벨기에",6678,1735,682,241,342
"이집트",4650,957,424,4120,221
"체코",2132,873,938,1727,696
"이스라엘",3464,688,96,2085,161
"그리스",9518,1937,538,2734,620
"우간다",3949,757,397,1743,448
"덴마크",7757,1965,404,3984,242
"스페인",2758,988,742,378,693
"아르헨티나",3833,447,148,549,927
"방글라데시",712,1845,989,1268,814
"터키",9644,1128,980,2096,968
"루마니아",5370,821,862,4030,536
"남아프리카공화국",3501,831,937,4489,828
"네덜란드",3069,711,392,3211,926
"인도네시아",8720,1492,935,3371,407
"카타르",4055,1234,714,1395,229
"프랑스",9761,349,593,4766,224
"페루",473,1425,447,311,785
"캐나다",6098,1761,338,1442,474
"핀란드",1149,1282,744,2086,699
"핀란드",2037,177,243,1108,441
"에티오피아",2313,386,106,319,171
"남아프리카공화국",7741,1165,887,2894,23
"베트남",8650,24,11,1862,218
"스위스",1078,945,625,1666,484
"뉴질랜드",5015,1023,364,120,301
"말레이시아",5658,1987,386,2760,648
"태국",6379,1490,403,1557,79
"알제리",1313,1154,461,3571,511
"중국",185,165,141,599,507
"멕시코",7933,1727,31,134,164
"독일",413,1612,926,4520,237
"뉴질랜드",4723,1401,115,2804,579
"싱가포르",1333,1805,790,3200,807
"그리스",4875,170,94,879,929
"인도네시아",9753,1469,714,668,422
"핀란드",564,710,16,49,493
"그리스",8986,1898,709,3311,730
