Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT)
13/10/2004,06.00.00,-200.0,798.0,-200.0,2.2
31/03/2005,10.00.00,1.3,996.0,-200.0,4.9
29/06/2004,07.00.00,3.4,1384.0,-200.0,23.5
12/11/2004,20.00.00,3.9,1251.0,-200.0,18.8
01/09/2004,04.00.00,0.5,838.0,-200.0,2.8
18/02/2005,14.00.00,1.6,1006.0,-200.0,6.6
30/05/2004,07.00.00,0.2,828.0,-200.0,3.6
12/06/2004,15.00.00,1.2,1062.0,-200.0,8.6
22/01/2005,03.00.00,0.9,1326.0,-200.0,13.1
02/05/2004,12.00.00,1.3,1004.0,-200.0,6.2
19/05/2004,23.00.00,2.0,1255.0,-200.0,9.6
23/03/2004,14.00.00,2.8,1171.0,268.0,12.4
16/12/2004,00.00.00,2.2,-200.0,-200.0,-200.0
29/03/2005,07.00.00,3.0,1371.0,-200.0,16.0
21/08/2004,02.00.00,-200.0,863.0,-200.0,3.9
21/02/2005,18.00.00,2.2,1177.0,-200.0,8.8
11/03/2005,02.00.00,1.0,952.0,-200.0,3.2
05/06/2004,23.00.00,1.7,1008.0,-200.0,8.0
12/06/2004,09.00.00,1.9,1123.0,-200.0,13.1
25/08/2004,02.00.00,1.1,930.0,-200.0,4.7
08/06/2004,23.00.00,1.2,972.0,-200.0,8.1
22/11/2004,14.00.00,3.6,1369.0,-200.0,25.2
23/10/2004,19.00.00,4.6,1537.0,-200.0,23.1
30/01/2005,12.00.00,1.0,890.0,-200.0,2.0
03/04/2004,16.00.00,-200.0,1361.0,-200.0,13.5
03/10/2004,04.00.00,-200.0,929.0,-200.0,3.9
31/07/2004,12.00.00,2.9,1171.0,-200.0,14.6
27/04/2004,07.00.00,4.1,1518.0,584.0,23.4
15/07/2004,12.00.00,2.0,1084.0,-200.0,12.1
25/05/2004,08.00.00,3.0,1210.0,-200.0,22.2
28/10/2004,23.00.00,1.2,950.0,-200.0,5.4
01/10/2004,13.00.00,4.1,1485.0,-200.0,22.3
22/07/2004,13.00.00,2.0,1138.0,-200.0,12.2
18/06/2004,16.00.00,2.4,1104.0,-200.0,14.8
25/03/2005,17.00.00,3.8,1473.0,-200.0,17.8
13/09/2004,14.00.00,2.2,1157.0,-200.0,12.6
19/11/2004,19.00.00,8.3,1623.0,-200.0,29.8
09/08/2004,03.00.00,0.5,835.0,-200.0,2.8
17/06/2004,14.00.00,1.7,1007.0,-200.0,9.8
20/02/2005,13.00.00,1.1,1037.0,-200.0,2.8
12/01/2005,07.00.00,1.8,1182.0,-200.0,9.3
03/06/2004,01.00.00,-200.0,999.0,-200.0,6.9
25/06/2004,19.00.00,3.4,1083.0,-200.0,17.9
01/04/2004,16.00.00,2.3,-200.0,319.0,-200.0
13/12/2004,08.00.00,3.4,1275.0,-200.0,16.4
09/05/2004,02.00.00,-200.0,993.0,-200.0,8.3
12/03/2005,09.00.00,0.2,1140.0,-200.0,5.8
12/05/2004,21.00.00,1.6,984.0,-200.0,6.9
18/04/2004,21.00.00,-200.0,1152.0,-200.0,8.7
09/08/2004,19.00.00,2.2,-200.0,-200.0,-200.0
28/01/2005,13.00.00,1.4,943.0,-200.0,5.3
04/03/2005,21.00.00,2.3,1109.0,-200.0,7.9
08/10/2004,20.00.00,2.9,1412.0,-200.0,18.6
28/01/2005,14.00.00,2.1,994.0,-200.0,7.3
17/06/2004,01.00.00,2.1,1017.0,-200.0,9.9
21/02/2005,22.00.00,1.4,1019.0,-200.0,4.4
