year,gender,지역코드,금액1,금액2
2018,0,143,70713,43210
2019,0,183,40306,39663
2017,0,129,26646,41631
2019,0,161,56843,12455
2019,0,174,26371,9014
2016,0,191,87371,16093
2017,1,188,12049,23070
2017,0,161,41616,40777
2017,1,196,30932,21538
2019,1,100,39855,15729
2018,1,126,71434,39177
2017,0,161,82694,5784
2020,0,176,53016,32751
2019,0,102,17400,45864
2016,0,169,52642,45328
2018,1,171,25151,17533
2020,0,126,61407,45111
2020,0,108,76690,44974
2016,0,161,14499,10801
2018,0,136,16295,24190
2019,0,196,69040,43754
2015,1,150,22183,34592
2018,0,143,39299,15647
2016,1,123,22874,13716
2020,0,178,42711,28355
2019,1,158,15539,27009
2018,0,131,63351,29376
2015,0,195,71267,9780
2015,1,187,58354,7368
2017,1,151,12557,17039
2017,1,161,48360,11655
2016,0,157,92018,45941
2018,1,151,12200,9495
2018,0,111,78497,15893
2020,0,138,56975,30547
2020,1,101,31357,27386
2020,1,102,87505,18403
2017,0,155,12869,37097
2018,0,180,71135,18121
2018,1,158,60108,15966
2015,1,101,48467,38621
2017,1,101,33328,33312
2019,0,191,96831,27677
2017,0,153,13987,36289
2019,0,186,68871,36024
2015,0,195,32399,47675
2016,0,196,56214,9777
2018,0,100,96416,34749
2015,1,118,80271,20338
2018,0,101,54064,7491
2020,0,152,80091,32236
2016,0,143,50818,19599
2016,1,189,55525,24508
2015,0,131,29830,8051
2016,0,169,27429,26606
2019,1,131,16893,26699
2016,0,167,89909,5876
2018,0,154,57333,37093
2018,0,174,13436,9142
2018,0,155,84290,20202
2018,0,116,86213,44734
2019,1,137,15895,12079
2017,1,123,29738,12987
2020,1,168,40746,44567
2015,0,197,59377,33940
2018,0,169,58404,42233
2016,0,185,64045,22019
2018,1,110,49790,23077
2016,0,115,15600,31258
2020,0,196,50764,26136
2020,1,172,84543,13311
2020,0,158,55714,22214
2016,1,169,66835,19098
2018,1,179,83744,33251
2020,1,192,66491,42945
2019,0,102,28589,30945
2016,0,119,53484,30316
2016,0,158,92989,37217
2018,0,135,46212,13308
2016,0,118,53525,10949
2016,0,189,57202,6150
2020,0,166,42635,28944
2018,1,118,73208,39699
2020,0,119,43828,14204
2020,1,195,28711,6081
2018,0,170,13420,34305
2015,0,151,10301,21896
2020,0,132,55236,12805
2019,1,139,76235,10237
2019,1,138,64240,25056
2016,1,181,75726,8343
2019,1,100,20492,18500
2016,0,110,16102,34375
2015,1,191,60336,14662
2018,0,156,95314,21964
2018,0,188,36641,13130
2018,1,149,44584,24531
2019,1,122,42745,6679
2015,1,130,33093,8506
2019,1,193,76105,18284
