부서,등급,평균만족도,근속연수,교육참가횟수
Finance,C,4.023910834949742,17.0,8.0
Marketing,A,3.7566975580721538,14.0,16.0
IT,B,2.6286968781249733,21.0,13.0
Marketing,A,3.1966161605915286,,18.0
Marketing,C,4.770664714916634,28.0,10.0
Sales,C,3.098904726667431,1.0,19.0
IT,B,2.8622371802280577,20.0,17.0
IT,A,3.7236319006939076,29.0,19.0
IT,C,4.964126135276501,21.0,5.0
Marketing,B,3.105138178778751,23.0,9.0
Finance,C,4.1803388685146965,1.0,12.0
IT,C,4.404049038321794,3.0,1.0
Marketing,A,3.0940938599809993,18.0,1.0
Sales,C,4.320540871529649,25.0,15.0
Finance,A,3.419457831798133,10.0,2.0
Sales,C,4.080764576483949,22.0,16.0
Finance,B,4.083824276902237,26.0,8.0
Marketing,C,3.839436710186896,3.0,13.0
HR,A,2.7257244251360206,8.0,1.0
Finance,A,4.588256238973095,14.0,16.0
Sales,B,,24.0,7.0
Marketing,C,2.9662962759996354,18.0,5.0
Finance,C,2.60193785388691,15.0,3.0
HR,B,3.9772323579706046,22.0,12.0
HR,C,4.193910904605707,23.0,16.0
IT,C,2.5414695723196403,2.0,19.0
IT,A,3.7802326457482023,27.0,5.0
Sales,C,3.0662394379948448,10.0,14.0
Finance,C,4.112931976023624,2.0,5.0
Finance,B,2.9359160725124784,26.0,15.0
IT,B,4.227344345256165,17.0,17.0
Finance,A,3.4668383657513435,8.0,14.0
Finance,C,,1.0,5.0
HR,C,2.8438023603649834,9.0,12.0
IT,C,3.3526658776256464,11.0,16.0
Marketing,A,,22.0,16.0
IT,A,4.811734045696407,16.0,7.0
Marketing,B,4.693348383452452,7.0,4.0
HR,A,3.144854069287889,29.0,1.0
Sales,C,4.149960115085447,10.0,5.0
Finance,C,4.54305550050304,23.0,10.0
HR,A,3.888002028998656,,5.0
Finance,C,3.824126445890016,3.0,4.0
Sales,C,3.1046307272511293,18.0,2.0
Sales,A,2.732756919514748,25.0,10.0
HR,A,4.743039394883317,24.0,19.0
Sales,C,4.7510451429083265,13.0,1.0
Marketing,C,4.08275364318317,28.0,5.0
Sales,C,3.3475744776217518,26.0,13.0
Finance,B,3.373023936531652,7.0,4.0
Finance,B,,,16.0
Finance,B,4.742775649881443,,16.0
Finance,A,4.717716060662793,13.0,2.0
Marketing,B,4.4496888646440595,20.0,17.0
IT,A,4.10507911538572,1.0,12.0
HR,A,2.7103499124876222,8.0,18.0
Finance,B,2.9040717852365345,14.0,3.0
Sales,B,4.746385471317698,16.0,1.0
Finance,B,4.016072649148975,14.0,1.0
Sales,C,,12.0,19.0
Sales,B,2.75367885716508,19.0,11.0
Finance,C,4.158754422770139,23.0,5.0
Marketing,A,2.512653959615547,15.0,12.0
Sales,C,2.9020201285437466,28.0,3.0
Sales,B,3.8718344734164654,2.0,1.0
Finance,A,4.2297379942317335,,1.0
Sales,A,4.129903148756501,23.0,8.0
Sales,A,3.0606732736513997,22.0,10.0
Finance,C,4.28044805336884,19.0,11.0
Finance,B,3.0931227187420003,25.0,12.0
HR,A,3.3134992453981695,26.0,13.0
Marketing,A,4.36622851279506,29.0,12.0
Marketing,A,4.124082247618037,22.0,14.0
Sales,C,4.623058526235445,26.0,2.0
Marketing,C,,26.0,19.0
Sales,B,3.920771508338679,,18.0
HR,C,2.7341869195702313,17.0,3.0
Finance,A,3.4192895076485836,,17.0
Finance,B,3.1630059192043136,10.0,8.0
Finance,A,3.109974108447709,6.0,10.0
Marketing,A,4.932526386881114,15.0,2.0
HR,C,3.482744311666901,,19.0
Marketing,B,4.730116387942783,11.0,9.0
Marketing,C,4.077846564993157,28.0,7.0
HR,C,4.487028258854121,5.0,4.0
HR,B,,1.0,18.0
HR,A,3.9422597115658977,8.0,13.0
HR,A,3.7312942345471596,21.0,11.0
Finance,B,2.988107469495111,28.0,4.0
IT,A,,12.0,4.0
IT,B,3.2019309061021395,12.0,10.0
HR,B,2.5607899160786345,,5.0
IT,C,,7.0,9.0
IT,B,2.9427766985176222,4.0,3.0
HR,C,4.851146460882285,6.0,17.0
IT,A,4.884821442506468,13.0,3.0
Marketing,A,4.787160975551121,20.0,16.0
Sales,A,3.425396750638611,15.0,4.0
Sales,A,,3.0,18.0
HR,C,4.820796406469313,,17.0
